type,device,instruction,input,output,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的默认网关。,,console> system ipset gateway 192.168.1.254\nconsole> system ipset apply\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'system ipset gateway' 命令设置默认网关，然后使用 'system ipset apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的 NAT 规则以允许内部网络通过外部接口访问互联网。,,console> nat rule add source 192.168.1.0/24 destination any service any outbound-interface Port2\nconsole> nat rule apply\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 Port2 进行转换。\n# 使用 'nat rule add' 命令添加 NAT 规则，然后使用 'nat rule apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的访问控制策略以允许 HTTP 流量。,,console> firewall rule add source any destination any service HTTP action accept\nconsole> firewall rule apply\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 'firewall rule add' 命令添加访问控制规则，然后使用 'firewall rule apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的静态路由。,,console> routing static add destination 192.168.2.0/24 gateway 192.168.1.254\nconsole> routing apply\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'routing static add' 命令添加静态路由，然后使用 'routing apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 以允许内部网络访问外部网络。,,console> firewall rule add source 192.168.1.0/24 destination any service any action accept\nconsole> firewall rule apply\n\n# 这将创建一个规则，允许来自 192.168.1.0/24 的流量访问任何目标网络。\n# 'service any' 表示允许所有服务流量。\n# 使用 'firewall rule add' 命令添加访问控制规则，然后使用 'firewall rule apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的 IPsec VPN 连接。,,,console> vpn ipsec add name VPN-Connection gateway 10.0.0.1 encryption aes256 integrity sha256 shared-secret MySecretKey\nconsole> vpn ipsec apply\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 'vpn ipsec add' 命令添加 VPN 策略，然后使用 'vpn ipsec apply' 命令应用配置。
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的 DHCP 服务器。,,console> dhcp server add pool DHCP-Pool range 192.168.1.10-192.168.1.100 lease-time 3600\nconsole> dhcp server apply\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'dhcp server add pool' 命令配置 DHCP 地址池，然后使用 'dhcp server apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的日志记录。,,console> logging level informational\nconsole> logging server 192.168.1.200\nconsole> logging apply\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'logging level' 命令设置日志级别，然后使用 'logging server' 命令设置日志服务器，最后使用 'logging apply' 命令应用配置。,
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的防火墙策略。,,"console> firewall rule add name Default-Policy source any destination any service HTTP,HTTPS action accept\nconsole> firewall rule apply\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 'firewall rule add' 命令添加访问控制规则，然后使用 'firewall rule apply' 命令应用配置。",
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的接口 IP 地址。,,Hillstone> configure terminal\nHillstone(config)# interface eth0\nHillstone(config-if)# ip address 192.168.1.1 255.255.255.0\nHillstone(config-if)# exit\nHillstone(config)# exit\n\n# 这将为接口 eth0 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 'configure terminal' 进入全局配置模式，'interface' 进入接口配置模式，'ip address' 设置 IP 地址，然后 'exit' 退出配置模式。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的默认网关。,,Hillstone> configure terminal\nHillstone(config)# ip route 0.0.0.0 0.0.0.0 192.168.1.254\nHillstone(config)# exit\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'configure terminal' 进入全局配置模式，'ip route' 命令配置默认路由。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的 NAT 规则以允许内部网络通过外部接口访问互联网。,,Hillstone> configure terminal\nHillstone(config)# ip nat inside source list 1 interface eth1 overload\nHillstone(config)# access-list 1 permit 192.168.1.0 0.0.0.255\nHillstone(config)# exit\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 eth1 进行转换。\n# 使用 'configure terminal' 进入全局配置模式，'ip nat inside' 配置 NAT，'access-list' 定义源地址范围。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的访问控制策略以允许 HTTP 流量。,,Hillstone> configure terminal\nHillstone(config)# access-list 101 permit tcp any any eq 80\nHillstone(config)# interface eth0\nHillstone(config-if)# ip access-group 101 in\nHillstone(config-if)# exit\nHillstone(config)# exit\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 'access-list' 命令创建访问控制列表，'interface' 命令应用访问控制列表到接口。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的静态路由。,,Hillstone> configure terminal\nHillstone(config)# ip route 192.168.2.0 255.255.255.0 192.168.1.254\nHillstone(config)# exit\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'configure terminal' 进入全局配置模式，'ip route' 命令添加静态路由。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 以允许内部网络访问外部网络。,,Hillstone> configure terminal\nHillstone(config)# access-list 102 permit ip 192.168.1.0 0.0.0.255 any\nHillstone(config)# interface eth0\nHillstone(config-if)# ip access-group 102 in\nHillstone(config-if)# exit\nHillstone(config)# exit\n\n# 这将创建一个规则，允许来自 192.168.1.0/24 的流量访问任何目标网络。\n# 'permit ip' 表示允许所有协议的流量。\n# 使用 'access-list' 命令创建访问控制列表，'interface' 命令应用访问控制列表到接口。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的 IPsec VPN 连接。,,Hillstone> configure terminal\nHillstone(config)# crypto isakmp policy 1\nHillstone(config-isakmp)# encryption aes 256\nHillstone(config-isakmp)# hash sha256\nHillstone(config-isakmp)# group 2\nHillstone(config-isakmp)# lifetime 86400\nHillstone(config-isakmp)# exit\nHillstone(config)# crypto isakmp key MySecretKey address 10.0.0.1\nHillstone(config)# crypto ipsec transform-set my-transform-set esp-aes 256 esp-sha-hmac\nHillstone(config)# crypto map my-map 10 ipsec-isakmp\nHillstone(config-crypto-map)# set peer 10.0.0.1\nHillstone(config-crypto-map)# set transform-set my-transform-set\nHillstone(config-crypto-map)# match address 101\nHillstone(config-crypto-map)# exit\nHillstone(config)# interface eth0\nHillstone(config-if)# crypto map my-map\nHillstone(config-if)# exit\nHillstone(config)# exit\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 'crypto isakmp' 和 'crypto ipsec' 命令配置 VPN 策略，然后将其应用到接口。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的 DHCP 服务器。,,Hillstone> configure terminal\nHillstone(config)# ip dhcp pool DHCP-Pool\nHillstone(dhcp-config)# network 192.168.1.0 255.255.255.0\nHillstone(dhcp-config)# default-router 192.168.1.1\nHillstone(dhcp-config)# lease 3600\nHillstone(dhcp-config)# exit\nHillstone(config)# exit\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'ip dhcp pool' 命令创建 DHCP 地址池并配置相关参数。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的日志记录。,,Hillstone> configure terminal\nHillstone(config)# logging host 192.168.1.200\nHillstone(config)# logging trap informational\nHillstone(config)# exit\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'logging host' 命令设置日志服务器，'logging trap' 命令设置日志级别。,
基本防火墙,Hillstone Networks,配置 Hillstone Networks IPS 的防火墙策略。,,Hillstone> configure terminal\nHillstone(config)# access-list 103 permit tcp any any eq 80\nHillstone(config)# access-list 103 permit tcp any any eq 443\nHillstone(config)# interface eth0\nHillstone(config-if)# ip access-group 103 in\nHillstone(config-if)# exit\nHillstone(config)# exit\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 'access-list' 命令创建访问控制列表，'interface' 命令应用访问控制列表到接口。,
基本防火墙,pfSense,配置 pfSense 的接口 IP 地址。,,"Login to the pfSense web interface.\nNavigate to Interfaces > Assignments.\nSelect the interface em0 and click on the edit icon.\nUnder IPv4 Configuration Type, select Static IPv4.\nIn the IPv4 Address field, enter 192.168.1.1/24.\nClick Save and Apply Changes.\n\n# 这将为接口 em0 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 pfSense web 界面配置，进入 Interfaces > Assignments，编辑接口配置并保存。",
基本防火墙,pfSense,配置 pfSense 的默认网关。,,Login to the pfSense web interface.\nNavigate to System > Routing.\nClick on the Gateways tab.\nClick the Add button to add a new gateway.\nEnter the default gateway IP address 192.168.1.254 in the Gateway field.\nClick Save and Apply Changes.\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 pfSense web 界面配置，进入 System > Routing，添加新的网关并保存。,
基本防火墙,pfSense,配置 pfSense 的 NAT 规则以允许内部网络通过外部接口访问互联网。,,Login to the pfSense web interface.\nNavigate to Firewall > NAT.\nClick on the Outbound tab.\nSelect Manual Outbound NAT rule generation.\nClick Save and Apply Changes.\nClick Add to create a new rule.\nSet the Interface to WAN.\nSet the Source to 192.168.1.0/24.\nLeave other settings as default and click Save.\nClick Apply Changes.\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 WAN 进行转换。\n# 使用 pfSense web 界面配置，进入 Firewall > NAT，创建新的 NAT 规则并保存。,
基本防火墙,pfSense,配置 pfSense 的访问控制策略以允许 HTTP 流量。,,"Login to the pfSense web interface.\nNavigate to Firewall > Rules.\nSelect the interface where you want to apply the rule, e.g., LAN.\nClick Add to create a new rule.\nSet Action to Pass.\nSet Protocol to TCP.\nSet Source to any.\nSet Destination to any.\nIn the Destination Port Range, set From to HTTP (80) and To to HTTP (80).\nClick Save and Apply Changes.\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 pfSense web 界面配置，进入 Firewall > Rules，创建新的规则并保存。",
基本防火墙,pfSense,配置 pfSense 的静态路由。,,Login to the pfSense web interface.\nNavigate to System > Routing.\nClick on the Routes tab.\nClick Add to create a new static route.\nEnter the destination network 192.168.2.0/24 in the Destination Network field.\nEnter the gateway IP address 192.168.1.254 in the Gateway field.\nClick Save and Apply Changes.\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 pfSense web 界面配置，进入 System > Routing，添加新的静态路由并保存。,
基本防火墙,pfSense,配置 pfSense 以允许内部网络访问外部网络。,,"Login to the pfSense web interface.\nNavigate to Firewall > Rules.\nSelect the interface where you want to apply the rule, e.g., LAN.\nClick Add to create a new rule.\nSet Action to Pass.\nSet Protocol to any.\nSet Source to 192.168.1.0/24.\nSet Destination to any.\nClick Save and Apply Changes.\n\n# 这将创建一个规则，允许来自 192.168.1.0/24 的流量访问任何目标网络。\n# 使用 pfSense web 界面配置，进入 Firewall > Rules，创建新的规则并保存。",
基本防火墙,pfSense,配置 pfSense 的 IPsec VPN 连接。,,Login to the pfSense web interface.\nNavigate to VPN > IPsec.\nClick Add P1 to create Phase 1 of the VPN.\nSet the Remote Gateway to 10.0.0.1.\nSet the Authentication Method to Pre-Shared Key and enter the key as MySecretKey.\nSet Encryption Algorithm to AES-256 and Hash Algorithm to SHA256.\nClick Save.\nClick Add P2 to create Phase 2 of the VPN.\nSet Protocol to ESP.\nSet Encryption Algorithms to AES-256 and Hash Algorithms to SHA256.\nClick Save and Apply Changes.\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 pfSense web 界面配置，进入 VPN > IPsec，配置 Phase 1 和 Phase 2 的设置并保存。,
基本防火墙,pfSense,配置 pfSense 的 DHCP 服务器。,,"Login to the pfSense web interface.\nNavigate to Services > DHCP Server.\nSelect the interface, e.g., LAN.\nCheck Enable DHCP Server on LAN interface.\nSet the Range to 192.168.1.10 - 192.168.1.100.\nSet the Default Lease Time to 3600 seconds.\nClick Save and Apply Changes.\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 pfSense web 界面配置，进入 Services > DHCP Server，配置 DHCP 设置并保存。",
基本防火墙,pfSense,配置 pfSense 的日志记录。,,"Login to the pfSense web interface.\nNavigate to Status > System Logs > Settings.\nUnder Remote Syslog Servers, enter the IP address of the log server: 192.168.1.200.\nSet the log level to Informational.\nClick Save.\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 pfSense web 界面配置，进入 Status > System Logs > Settings，设置远程日志服务器并保存。",
基本防火墙,pfSense,配置 pfSense 的防火墙策略。,,"Login to the pfSense web interface.\nNavigate to Firewall > Rules.\nSelect the interface where you want to apply the rule, e.g., LAN.\nClick Add to create a new rule.\nSet Action to Pass.\nSet Protocol to TCP.\nSet Source to any.\nSet Destination to any.\nIn the Destination Port Range, set From to HTTP (80) and To to HTTPS (443).\nClick Save and Apply Changes.\n\n# 这将创建一个防火墙策略，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 pfSense web 界面配置，进入 Firewall > Rules，创建新的规则并保存。",
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的接口 IP 地址。,,"Login to the Untangle NG Firewall web interface.\nNavigate to Config > Network > Interfaces.\nSelect the interface eth0 and click on the Edit button.\nUnder Address Configuration, select Static.\nIn the IP Address field, enter 192.168.1.1.\nIn the Netmask field, enter 255.255.255.0.\nClick Done and then click Apply.\n\n# 这将为接口 eth0 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 Untangle NG Firewall web 界面配置，进入 Config > Network > Interfaces，编辑接口配置并保存。",
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的默认网关。,,Login to the Untangle NG Firewall web interface.\nNavigate to Config > Network > Interfaces.\nSelect the Default Gateway tab.\nClick on the Add button.\nEnter the IP address 192.168.1.254.\nClick Done and then click Apply.\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 Untangle NG Firewall web 界面配置，进入 Config > Network > Interfaces，设置默认网关并保存。,
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的 NAT 规则以允许内部网络通过外部接口访问互联网。,,Login to the Untangle NG Firewall web interface.\nNavigate to Config > Network > NAT.\nClick Add to create a new NAT rule.\nSet the Source Address to 192.168.1.0/24.\nSet the Destination Interface to eth1.\nClick Done and then click Apply.\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 eth1 进行转换。\n# 使用 Untangle NG Firewall web 界面配置，进入 Config > Network > NAT，创建新的 NAT 规则并保存。,
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的访问控制策略以允许 HTTP 流量。,,"Login to the Untangle NG Firewall web interface.\nNavigate to Apps > Firewall > Rules.\nClick Add to create a new rule.\nSet Action to Pass.\nSet Protocol to TCP.\nSet Source to any.\nSet Destination to any.\nIn the Destination Port field, enter 80.\nClick Done and then click Apply.\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 Untangle NG Firewall web 界面配置，进入 Apps > Firewall > Rules，创建新的规则并保存。",
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的静态路由。,,Login to the Untangle NG Firewall web interface.\nNavigate to Config > Network > Routes.\nClick Add to create a new static route.\nEnter the destination network 192.168.2.0/24 in the Destination Network field.\nEnter the gateway IP address 192.168.1.254 in the Gateway field.\nClick Done and then click Apply.\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 Untangle NG Firewall web 界面配置，进入 Config > Network > Routes，添加新的静态路由并保存。,
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的 OpenVPN 连接。,,Login to the Untangle NG Firewall web interface.\nNavigate to Apps > OpenVPN.\nClick on the Server tab.\nClick Add to create a new VPN configuration.\nSet the Remote IP to 10.0.0.1.\nSet the Encryption Algorithm to AES-256.\nSet the Pre-Shared Key to MySecretKey.\nClick Done and then click Apply.\n\n# 这将配置一个 OpenVPN 连接，包括设置远程 IP 地址、加密算法和预共享密钥。\n# 使用 Untangle NG Firewall web 界面配置，进入 Apps > OpenVPN，配置 VPN 设置并保存。,
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的 DHCP 服务器。,,Login to the Untangle NG Firewall web interface.\nNavigate to Config > Network > DHCP Server.\nCheck Enable DHCP Server on LAN interface.\nSet the Range to 192.168.1.100 - 192.168.1.200.\nSet the Lease Time to 3600 seconds.\nClick Done and then click Apply.\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.100-192.168.1.200，租期为 3600 秒。\n# 使用 Untangle NG Firewall web 界面配置，进入 Config > Network > DHCP Server，配置 DHCP 设置并保存。,
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的日志记录。,,"Login to the Untangle NG Firewall web interface.\nNavigate to Config > Network > Logging.\nUnder Remote Syslog Servers, click Add.\nEnter the IP address 192.168.1.200.\nSet the log level to Informational.\nClick Done and then click Apply.\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 Untangle NG Firewall web 界面配置，进入 Config > Network > Logging，设置远程日志服务器并保存。",
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的防火墙策略。,,"Login to the Untangle NG Firewall web interface.\nNavigate to Apps > Firewall > Rules.\nClick Add to create a new rule.\nSet Action to Pass.\nSet Protocol to TCP.\nSet Source to any.\nSet Destination to any.\nIn the Destination Port field, enter 80 (HTTP) and 443 (HTTPS).\nClick Done and then click Apply.\n\n# 这将创建一个防火墙策略，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 Untangle NG Firewall web 界面配置，进入 Apps > Firewall > Rules，创建新的规则并保存。",
基本防火墙,Untangle NG Firewall,配置 Untangle NG Firewall 的带宽控制规则以限制特定用户的带宽。,,Login to the Untangle NG Firewall web interface.\nNavigate to Apps > Bandwidth Control > Rules.\nClick Add to create a new bandwidth control rule.\nSet the Source Address to 192.168.1.100.\nSet the Upload Bandwidth to 1 Mbps.\nSet the Download Bandwidth to 2 Mbps.\nClick Done and then click Apply.\n\n# 这将创建一个带宽控制规则，限制 IP 地址 192.168.1.100 的用户上传带宽为 1 Mbps，下载带宽为 2 Mbps。\n# 使用 Untangle NG Firewall web 界面配置，进入 Apps > Bandwidth Control > Rules，创建新的带宽控制规则并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙的接口 IP 地址。,,"Login to the OpnSense web interface.\nNavigate to Interfaces > [Interface Name] > General.\nIn the IPv4 Address section, set the Address to 192.168.1.1.\nIn the Subnet section, select 24 (for 255.255.255.0).\nClick Save and then apply changes.\n\n# 这将为接口 em0 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 OpnSense web 界面配置，进入 Interfaces > [Interface Name] > General，设置接口 IP 地址并保存。",
基本防火墙,OpnSense,配置 OpnSense 防火墙的默认网关。,,Login to the OpnSense web interface.\nNavigate to System > Routing > Gateways.\nClick Add to create a new gateway.\nEnter the IP address 192.168.1.254 in the Gateway field.\nClick Save and then apply changes.\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 OpnSense web 界面配置，进入 System > Routing > Gateways，添加新的网关并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙的 NAT 规则以允许内部网络通过外部接口访问互联网。,,Login to the OpnSense web interface.\nNavigate to Firewall > NAT > Outbound.\nSelect Hybrid Outbound NAT rule generation.\nClick Add to create a new rule.\nSet the Interface to em1.\nSet the Source Address to 192.168.1.0/24.\nClick Save and then apply changes.\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 em1 进行转换。\n# 使用 OpnSense web 界面配置，进入 Firewall > NAT > Outbound，创建新的 NAT 规则并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙规则以允许 HTTP 和 HTTPS 流量。,,"Login to the OpnSense web interface.\nNavigate to Firewall > Rules > [Interface Name].\nClick Add to create a new rule.\nSet Action to Pass.\nSet Protocol to TCP.\nSet Source to any.\nSet Destination to any.\nIn the Destination Port Range field, enter 80 (HTTP) and 443 (HTTPS).\nClick Save and then apply changes.\n\n# 这将创建一个防火墙规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 OpnSense web 界面配置，进入 Firewall > Rules > [Interface Name]，创建新的规则并保存。",
基本防火墙,OpnSense,配置 OpnSense 防火墙的静态路由。,,Login to the OpnSense web interface.\nNavigate to System > Routing > Static Routes.\nClick Add to create a new static route.\nEnter the Destination Network as 192.168.2.0/24.\nEnter the Gateway as 192.168.1.254.\nClick Save and then apply changes.\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 OpnSense web 界面配置，进入 System > Routing > Static Routes，添加新的静态路由并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙的 DHCP 服务器。,,Login to the OpnSense web interface.\nNavigate to Services > DHCP Server > [Interface Name].\nCheck Enable DHCP server on [Interface Name].\nSet the Range to 192.168.1.100 - 192.168.1.200.\nSet the Lease Time to 3600 seconds.\nClick Save and then apply changes.\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.100-192.168.1.200，租期为 3600 秒。\n# 使用 OpnSense web 界面配置，进入 Services > DHCP Server > [Interface Name]，配置 DHCP 设置并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙的 OpenVPN 服务器。,,Login to the OpnSense web interface.\nNavigate to VPN > OpenVPN > Servers.\nClick Add to create a new OpenVPN server.\nEnter the Server mode as Peer to Peer (SSL/TLS).\nSet the Encryption Algorithm to AES-256-CBC.\nEnter the Remote IP Address as 10.0.0.1.\nEnter the Pre-Shared Key as MySecretKey.\nClick Save and then apply changes.\n\n# 这将配置一个 OpenVPN 服务器，包括设置加密算法和预共享密钥。\n# 使用 OpnSense web 界面配置，进入 VPN > OpenVPN > Servers，配置 VPN 服务器并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙的带宽控制规则。,,Login to the OpnSense web interface.\nNavigate to Firewall > Traffic Shaper > Limiter.\nClick Add to create a new limiter.\nSet the Name to Bandwidth-Limiter.\nSet the Bandwidth to 1 Mbps for upload and 2 Mbps for download.\nClick Save and then apply changes.\n\n# 这将配置一个带宽控制规则，限制 IP 地址 192.168.1.100 的用户上传带宽为 1 Mbps，下载带宽为 2 Mbps。\n# 使用 OpnSense web 界面配置，进入 Firewall > Traffic Shaper > Limiter，配置带宽控制并保存。,
基本防火墙,OpnSense,配置 OpnSense 防火墙的日志记录。,,"Login to the OpnSense web interface.\nNavigate to System > Settings > Logging.\nUnder Remote Syslog Servers, click Add.\nEnter the IP address 192.168.1.200.\nSet the Log Level to Info.\nClick Save and then apply changes.\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 Info。\n# 使用 OpnSense web 界面配置，进入 System > Settings > Logging，设置远程日志服务器并保存。",
基本防火墙,OpnSense,配置 OpnSense 防火墙规则以阻止特定 IP 地址的流量。,,Login to the OpnSense web interface.\nNavigate to Firewall > Rules > [Interface Name].\nClick Add to create a new rule.\nSet Action to Block.\nSet Protocol to Any.\nSet Source to 10.0.0.5.\nSet Destination to any.\nClick Save and then apply changes.\n\n# 这将创建一个防火墙规则，阻止来自 IP 地址 10.0.0.5 的所有流量。\n# 使用 OpnSense web 界面配置，进入 Firewall > Rules > [Interface Name]，创建阻止规则并保存。,
基本防火墙,IPFire,配置 IPFire 防火墙的接口 IP 地址。,,Login to the IPFire web interface.\nNavigate to Network > Interfaces.\nSelect the GREEN interface from the list.\nClick Edit.\nSet the IP Address to 192.168.1.1.\nSet the Netmask to 255.255.255.0.\nClick Save and then apply changes.\n\n# 这将为 GREEN 接口配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 IPFire web 界面配置，进入 Network > Interfaces，编辑接口设置并保存。,
基本防火墙,IPFire,配置 IPFire 防火墙的默认网关。,,Login to the IPFire web interface.\nNavigate to Network > Gateways.\nClick Edit for the default gateway.\nEnter the IP address 192.168.1.254 in the Gateway field.\nClick Save and then apply changes.\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 IPFire web 界面配置，进入 Network > Gateways，编辑默认网关并保存。,
基本防火墙,IPFire,配置 IPFire 防火墙的 NAT 规则以允许内部网络通过外部接口访问互联网。,,Login to the IPFire web interface.\nNavigate to Firewall > NAT.\nClick Add to create a new NAT rule.\nSet the Interface to RED.\nSet the Source Network to 192.168.1.0/24.\nClick Save and then apply changes.\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 RED 进行转换。\n# 使用 IPFire web 界面配置，进入 Firewall > NAT，创建新的 NAT 规则并保存。,
基本防火墙,IPFire,配置 IPFire 防火墙规则以允许 HTTP 和 HTTPS 流量。,,"Login to the IPFire web interface.\nNavigate to Firewall > Rules.\nClick Add to create a new rule.\nSet Action to Allow.\nSet Source Network to any.\nSet Destination Network to any.\nSet Services to HTTP, HTTPS.\nClick Save and then apply changes.\n\n# 这将创建一个防火墙规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 IPFire web 界面配置，进入 Firewall > Rules，创建新的规则并保存。",
基本防火墙,IPFire,配置 IPFire 防火墙的静态路由。,,Login to the IPFire web interface.\nNavigate to Network > Routing.\nClick Add to create a new route.\nEnter the Destination Network as 192.168.2.0/24.\nEnter the Gateway as 192.168.1.254.\nClick Save and then apply changes.\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 IPFire web 界面配置，进入 Network > Routing，添加新的静态路由并保存。,
基本防火墙,IPFire,配置 IPFire 防火墙的 DHCP 服务器。,,Login to the IPFire web interface.\nNavigate to Network > DHCP Server.\nClick Edit for the GREEN interface.\nSet the Address Range to 192.168.1.100 - 192.168.1.200.\nSet the Lease Time to 3600 seconds.\nClick Save and then apply changes.\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.100-192.168.1.200，租期为 3600 秒。\n# 使用 IPFire web 界面配置，进入 Network > DHCP Server，编辑接口的 DHCP 设置并保存。,
基本防火墙,IPFire,配置 IPFire 防火墙的 OpenVPN 服务器。,,Login to the IPFire web interface.\nNavigate to VPN > OpenVPN.\nClick Add to create a new OpenVPN server.\nEnter the Server Name as VPN-Server.\nSet the Encryption Algorithm to AES-256-CBC.\nEnter the Remote IP Address as 10.0.0.1.\nEnter the Pre-Shared Key as MySecretKey.\nClick Save and then apply changes.\n\n# 这将配置一个 OpenVPN 服务器，包括设置加密算法和预共享密钥。\n# 使用 IPFire web 界面配置，进入 VPN > OpenVPN，配置 VPN 服务器并保存。,
