type,device,json,instruction,input,output
,pfSense,"{
  ""instruction"": ""配置 NAT 以将内部服务器的私有 IP 映射到公共 IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 pfSense 的 Web 界面。\n\n2. 导航到 `Firewall` > `NAT` > `Outbound`。\n\n3. 选择 `Manual Outbound NAT rule generation`。\n\n4. 点击 `Add` 按钮添加新的 NAT 规则。\n\n5. 配置 NAT 规则参数:\n   a. 在 `Interface` 字段中选择 `WAN`。\n   b. 在 `Source` 字段中输入 `192.168.1.10/32`。\n   c. 在 `Translation` 字段中选择 `Address`，并输入 `203.0.113.10`。\n\n6. 点击 `Save` 保存规则。\n\n7. 点击 `Apply Changes` 应用更改。\n\n8. 验证 NAT 配置:\n   ```
   Diagnostics > States
   ```""
}
",,,
,pfSense,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 类型: OpenVPN，远程用户 IP 范围: 10.2.2.0/24。"",
  ""output"": ""1. 登录到 pfSense 的 Web 界面。\n\n2. 导航到 `VPN` > `OpenVPN`。\n\n3. 在 `Servers` 选项卡下，点击 `Add` 按钮添加新服务器配置。\n\n4. 配置 VPN 服务器参数:\n   a. 在 `Server Mode` 字段中选择 `Remote Access (SSL/TLS)`。\n   b. 配置 `Protocol` 和 `Device Mode`。\n   c. 配置 `Local Network` 为 `10.2.2.0/24`。\n   d. 配置 `Tunnel Network` 为 `10.3.3.0/24`。\n\n5. 点击 `Save` 保存服务器配置。\n\n6. 导航到 `Client Export` 选项卡并下载客户端配置文件。\n\n7. 验证 VPN 连接:\n   ```
   Status > OpenVPN
   ```""
}
",,,
,pfSense,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 22.05。"",
  ""output"": ""1. 登录到 pfSense 的 Web 界面。\n\n2. 导航到 `System` > `Firmware`。\n\n3. 在 `Updates` 选项卡下，点击 `Check for Updates` 按钮。\n\n4. 选择版本 `22.05` 并点击 `Download` 按钮。\n\n5. 点击 `Upgrade` 按钮进行固件升级。\n\n6. 系统会自动重启以完成升级。\n\n7. 登录回管理界面并验证升级是否成功:\n   ```
   System > Firmware
   ```""
}
",,,
,OpnSense,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 OpnSense 的 Web 界面。\n\n2. 导航到 `System` > `Routing`。\n\n3. 在 `Static Routes` 选项卡下，点击 `Add` 按钮添加新路由。\n\n4. 配置静态路由参数:\n   a. 在 `Destination Network` 字段中输入 `10.1.1.0/24`。\n   b. 在 `Gateway` 字段中选择或输入 `192.168.1.1`。\n\n5. 点击 `Save` 保存路由。\n\n6. 点击 `Apply Changes` 应用更改。\n\n7. 验证静态路由:\n   ```
   Diagnostics > Routes
   ```""
}
",,,
,OpnSense,"{
  ""instruction"": ""配置防火墙规则以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""接口: LAN，源: any，目标: any，服务: HTTP。"",
  ""output"": ""1. 登录到 OpnSense 的 Web 界面。\n\n2. 导航到 `Firewall` > `Rules` > `LAN`。\n\n3. 点击 `Add` 按钮添加新规则。\n\n4. 配置防火墙规则参数:\n   a. 在 `Action` 字段中选择 `Pass`。\n   b. 在 `Interface` 字段中选择 `LAN`。\n   c. 在 `Source` 字段中选择 `any`。\n   d. 在 `Destination` 字段中选择 `any`。\n   e. 在 `Protocol` 字段中选择 `TCP`，并在 `Destination port range` 字段中选择 `80` (HTTP)。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply Changes` 应用更改。\n\n7. 验证防火墙规则:\n   ```
   Firewall > Rules
   ```""
}
",,,
,OpnSense,"{
  ""instruction"": ""配置 NAT 以将内部服务器的私有 IP 映射到公共 IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 OpnSense 的 Web 界面。\n\n2. 导航到 `Firewall` > `NAT` > `Outbound`。\n\n3. 选择 `Hybrid Outbound NAT rule generation` 或 `Manual Outbound NAT rule generation`。\n\n4. 点击 `Add` 按钮添加新的 NAT 规则。\n\n5. 配置 NAT 规则参数:\n   a. 在 `Interface` 字段中选择 `WAN`。\n   b. 在 `Source` 字段中输入 `192.168.1.10/32`。\n   c. 在 `Translation` 字段中选择 `Address` 并输入 `203.0.113.10`。\n\n6. 点击 `Save` 保存规则。\n\n7. 点击 `Apply Changes` 应用更改。\n\n8. 验证 NAT 配置:\n   ```
   Diagnostics > States
   ```""
}
",,,
,OpnSense,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 类型: OpenVPN，远程用户 IP 范围: 10.2.2.0/24。"",
  ""output"": ""1. 登录到 OpnSense 的 Web 界面。\n\n2. 导航到 `VPN` > `OpenVPN`。\n\n3. 在 `Servers` 选项卡下，点击 `Add` 按钮添加新服务器配置。\n\n4. 配置 VPN 服务器参数:\n   a. 在 `Server Mode` 字段中选择 `Remote Access (SSL/TLS)`。\n   b. 配置 `Protocol` 和 `Device Mode`。\n   c. 配置 `Local Network` 为 `10.2.2.0/24`。\n   d. 配置 `Tunnel Network` 为 `10.3.3.0/24`。\n\n5. 点击 `Save` 保存服务器配置。\n\n6. 导航到 `Client Export` 选项卡并下载客户端配置文件。\n\n7. 验证 VPN 连接:\n   ```
   Status > OpenVPN
   ```""
}
",,,
,OpnSense,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 22.05。"",
  ""output"": ""1. 登录到 OpnSense 的 Web 界面。\n\n2. 导航到 `System` > `Firmware`。\n\n3. 在 `Updates` 选项卡下，点击 `Check for Updates` 按钮。\n\n4. 选择版本 `22.05` 并点击 `Download` 按钮。\n\n5. 点击 `Upgrade` 按钮进行固件升级。\n\n6. 系统会自动重启以完成升级。\n\n7. 登录回管理界面并验证升级是否成功:\n   ```
   System > Firmware
   ```""
}
",,,
,Hillstone Networks,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 Hillstone Networks 的 Web 界面。\n\n2. 导航到 `Network` > `Routing`。\n\n3. 在 `Static Routes` 选项卡下，点击 `Add` 按钮添加新路由。\n\n4. 配置静态路由参数:\n   a. 在 `Destination Network` 字段中输入 `10.1.1.0/24`。\n   b. 在 `Gateway` 字段中输入 `192.168.1.1`。\n\n5. 点击 `Save` 保存路由。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证静态路由:\n   ```
   Network > Routing > Static Routes
   ```""
}
",,,
,Hillstone Networks,"{
  ""instruction"": ""配置防火墙规则以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""接口: LAN，源: any，目标: any，服务: HTTP。"",
  ""output"": ""1. 登录到 Hillstone Networks 的 Web 界面。\n\n2. 导航到 `Security` > `Firewall` > `Rules`。\n\n3. 在 `LAN` 选项卡下，点击 `Add` 按钮添加新规则。\n\n4. 配置防火墙规则参数:\n   a. 在 `Action` 字段中选择 `Allow`。\n   b. 在 `Interface` 字段中选择 `LAN`。\n   c. 在 `Source` 字段中选择 `any`。\n   d. 在 `Destination` 字段中选择 `any`。\n   e. 在 `Service` 字段中选择 `HTTP`。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证防火墙规则:\n   ```
   Security > Firewall > Rules > LAN
   ```""
}
",,,
,Hillstone Networks,"{
  ""instruction"": ""配置 NAT 以将内部服务器的私有 IP 映射到公共 IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 Hillstone Networks 的 Web 界面。\n\n2. 导航到 `Network` > `NAT` > `Outbound`。\n\n3. 选择 `Manual NAT` 模式。\n\n4. 点击 `Add` 按钮添加新的 NAT 规则。\n\n5. 配置 NAT 规则参数:\n   a. 在 `Interface` 字段中选择 `WAN`。\n   b. 在 `Source Address` 字段中输入 `192.168.1.10`。\n   c. 在 `Translated Address` 字段中输入 `203.0.113.10`。\n\n6. 点击 `Save` 保存规则。\n\n7. 点击 `Apply` 应用更改。\n\n8. 验证 NAT 配置:\n   ```
   Network > NAT > Outbound
   ```""
}
",,,
,Hillstone Networks,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 类型: IPsec，远程用户 IP 范围: 10.2.2.0/24。"",
  ""output"": ""1. 登录到 Hillstone Networks 的 Web 界面。\n\n2. 导航到 `VPN` > `IPsec` > `Settings`。\n\n3. 点击 `Add` 按钮添加新 VPN 配置。\n\n4. 配置 VPN 服务器参数:\n   a. 在 `VPN Type` 字段中选择 `IPsec`。\n   b. 配置 `Local Network` 为 `10.2.2.0/24`。\n   c. 配置 `Remote Network` 为 `10.3.3.0/24`。\n   d. 配置 `Gateway` 和 `Pre-shared Key`。\n\n5. 点击 `Save` 保存 VPN 配置。\n\n6. 导航到 `VPN` > `IPsec` > `Status` 并验证 VPN 连接状态。\n\n7. 验证 VPN 连接:\n   ```
   VPN > IPsec > Status
   ```""
}
",,,
,Hillstone Networks,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 22.05。"",
  ""output"": ""1. 登录到 Hillstone Networks 的 Web 界面。\n\n2. 导航到 `System` > `Firmware`。\n\n3. 点击 `Check for Updates` 按钮检查是否有新固件版本。\n\n4. 选择版本 `22.05` 并点击 `Download` 按钮。\n\n5. 点击 `Upgrade` 按钮进行固件升级。\n\n6. 系统会自动重启以完成升级。\n\n7. 登录回管理界面并验证升级是否成功:\n   ```
   System > Firmware
   ```""
}
",,,
,Untangle NG Firewall,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 Untangle NG Firewall 的 Web 界面。\n\n2. 导航到 `Config` > `Network`。\n\n3. 在 `Routing` 选项卡下，点击 `Add Route` 按钮添加新路由。\n\n4. 配置静态路由参数:\n   a. 在 `Destination Network` 字段中输入 `10.1.1.0/24`。\n   b. 在 `Gateway` 字段中输入 `192.168.1.1`。\n\n5. 点击 `Save` 保存路由。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证静态路由:\n   ```
   Config > Network > Routing
   ```""
}
",,,
,Untangle NG Firewall,"{
  ""instruction"": ""配置防火墙规则以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""接口: LAN，源: any，目标: any，服务: HTTP。"",
  ""output"": ""1. 登录到 Untangle NG Firewall 的 Web 界面。\n\n2. 导航到 `Config` > `Firewall`。\n\n3. 在 `Rules` 选项卡下，点击 `Add` 按钮添加新规则。\n\n4. 配置防火墙规则参数:\n   a. 在 `Action` 字段中选择 `Accept`。\n   b. 在 `Interface` 字段中选择 `LAN`。\n   c. 在 `Source` 字段中选择 `any`。\n   d. 在 `Destination` 字段中选择 `any`。\n   e. 在 `Service` 字段中选择 `HTTP`。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证防火墙规则:\n   ```
   Config > Firewall > Rules
   ```""
}
",,,
,Untangle NG Firewall,"{
  ""instruction"": ""配置 NAT 以将内部服务器的私有 IP 映射到公共 IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 Untangle NG Firewall 的 Web 界面。\n\n2. 导航到 `Config` > `Firewall` > `NAT`。\n\n3. 点击 `Add` 按钮添加新的 NAT 规则。\n\n4. 配置 NAT 规则参数:\n   a. 在 `Action` 字段中选择 `SNAT`。\n   b. 在 `Source` 字段中输入 `192.168.1.10`。\n   c. 在 `Destination` 字段中输入 `any`。\n   d. 在 `Translation` 字段中输入 `203.0.113.10`。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证 NAT 配置:\n   ```
   Config > Firewall > NAT
   ```""
}
",,,
,Untangle NG Firewall,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 类型: OpenVPN，远程用户 IP 范围: 10.2.2.0/24。"",
  ""output"": ""1. 登录到 Untangle NG Firewall 的 Web 界面。\n\n2. 导航到 `Config` > `VPN`。\n\n3. 在 `OpenVPN` 选项卡下，点击 `Add` 按钮添加新 VPN 配置。\n\n4. 配置 VPN 服务器参数:\n   a. 在 `VPN Type` 字段中选择 `OpenVPN`。\n   b. 配置 `Local Network` 为 `10.2.2.0/24`。\n   c. 配置 `Remote Network` 为 `10.3.3.0/24`。\n   d. 配置 `Server Address` 和 `Port`。\n\n5. 点击 `Save` 保存 VPN 配置。\n\n6. 导航到 `Status` 选项卡并验证 VPN 连接状态。\n\n7. 验证 VPN 连接:\n   ```
   Config > VPN > OpenVPN > Status
   ```""
}
",,,
,Untangle NG Firewall,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 22.05。"",
  ""output"": ""1. 登录到 Untangle NG Firewall 的 Web 界面。\n\n2. 导航到 `Config` > `Software`。\n\n3. 点击 `Check for Updates` 按钮检查是否有新固件版本。\n\n4. 选择版本 `22.05` 并点击 `Download` 按钮。\n\n5. 点击 `Upgrade` 按钮进行固件升级。\n\n6. 系统会自动重启以完成升级。\n\n7. 登录回管理界面并验证升级是否成功:\n   ```
   Config > Software
   ```""
}
",,,
,NSFOCUS,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 NSFOCUS 的 Web 界面。\n\n2. 导航到 `Network` > `Routing`。\n\n3. 点击 `Add` 按钮以添加新的静态路由。\n\n4. 配置静态路由参数:\n   a. 在 `Destination Network` 字段中输入 `10.1.1.0/24`。\n   b. 在 `Gateway` 字段中输入 `192.168.1.1`。\n\n5. 点击 `Save` 保存路由。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证静态路由配置:\n   ```
   Network > Routing
   ```""
}
",,,
,NSFOCUS,"{
  ""instruction"": ""配置防火墙规则以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""接口: LAN，源: any，目标: any，服务: HTTP。"",
  ""output"": ""1. 登录到 NSFOCUS 的 Web 界面。\n\n2. 导航到 `Security` > `Firewall`。\n\n3. 在 `Rules` 选项卡下，点击 `Add` 按钮以添加新的防火墙规则。\n\n4. 配置防火墙规则参数:\n   a. 在 `Action` 字段中选择 `Allow`。\n   b. 在 `Interface` 字段中选择 `LAN`。\n   c. 在 `Source` 字段中选择 `any`。\n   d. 在 `Destination` 字段中选择 `any`。\n   e. 在 `Service` 字段中选择 `HTTP`。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证防火墙规则:\n   ```
   Security > Firewall > Rules
   ```""
}
",,,
,NSFOCUS,"{
  ""instruction"": ""配置 NAT 以将内部服务器的私有 IP 映射到公共 IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 NSFOCUS 的 Web 界面。\n\n2. 导航到 `Network` > `NAT`。\n\n3. 点击 `Add` 按钮以添加新的 NAT 规则。\n\n4. 配置 NAT 规则参数:\n   a. 在 `Type` 字段中选择 `SNAT`。\n   b. 在 `Source Address` 字段中输入 `192.168.1.10`。\n   c. 在 `Destination Address` 字段中选择 `any`。\n   d. 在 `Translated Address` 字段中输入 `203.0.113.10`。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply` 应用更改。\n\n7. 验证 NAT 配置:\n   ```
   Network > NAT
   ```""
}
",,,
,NSFOCUS,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 类型: IPsec，远程用户 IP 范围: 10.2.2.0/24。"",
  ""output"": ""1. 登录到 NSFOCUS 的 Web 界面。\n\n2. 导航到 `VPN` > `IPsec`。\n\n3. 点击 `Add` 按钮以添加新的 VPN 配置。\n\n4. 配置 VPN 参数:\n   a. 在 `VPN Type` 字段中选择 `IPsec`。\n   b. 在 `Local Network` 字段中输入 `10.2.2.0/24`。\n   c. 在 `Remote Network` 字段中输入 `10.3.3.0/24`。\n   d. 配置 `Gateway` 和 `Pre-shared Key`。\n\n5. 点击 `Save` 保存 VPN 配置。\n\n6. 导航到 `Status` 选项卡并验证 VPN 连接状态。\n\n7. 验证 VPN 连接:\n   ```
   VPN > IPsec > Status
   ```""
}
",,,
,NSFOCUS,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 22.05。"",
  ""output"": ""1. 登录到 NSFOCUS 的 Web 界面。\n\n2. 导航到 `System` > `Firmware`。\n\n3. 点击 `Check for Updates` 按钮检查是否有新固件版本。\n\n4. 选择版本 `22.05` 并点击 `Download` 按钮。\n\n5. 点击 `Upgrade` 按钮进行固件升级。\n\n6. 系统会自动重启以完成升级。\n\n7. 登录回管理界面并验证升级是否成功:\n   ```
   System > Firmware
   ```""
}
",,,
,F5 Networks BIG-IP ASM (Application Security Manager),"{
  ""instruction"": ""配置基本的安全策略以保护 Web 应用免受常见攻击。"",
  ""input"": ""策略名称: 'DefaultPolicy'，保护级别: 'Medium'。"",
  ""output"": ""1. 登录到 F5 BIG-IP ASM 的 Web 界面。\n\n2. 导航到 `Security` > `Application Security` > `Security Policies`。\n\n3. 点击 `Create` 按钮以创建新的安全策略。\n\n4. 配置策略参数:\n   a. 在 `Policy Name` 字段中输入 `DefaultPolicy`。\n   b. 在 `Protection Level` 字段中选择 `Medium`。\n\n5. 点击 `Finished` 完成策略创建。\n\n6. 导航到 `Security` > `Application Security` > `Application List`。\n\n7. 选择要应用策略的应用，并点击 `Manage Policy`。\n\n8. 选择 `DefaultPolicy` 并点击 `Apply`。\n\n9. 点击 `Apply Policy` 以应用策略。\n\n10. 验证策略应用:\n   ```
   Security > Application Security > Security Policies
   ```""
}
",,,
,F5 Networks BIG-IP ASM (Application Security Manager),"{
  ""instruction"": ""配置 IP 黑名单以阻止特定 IP 地址访问应用。"",
  ""input"": ""IP 地址: 192.168.1.100，黑名单类型: 'Deny'。"",
  ""output"": ""1. 登录到 F5 BIG-IP ASM 的 Web 界面。\n\n2. 导航到 `Security` > `Application Security` > `IP Intelligence`。\n\n3. 点击 `Blacklist` 选项卡。\n\n4. 点击 `Create` 按钮以添加新的黑名单规则。\n\n5. 配置黑名单规则参数:\n   a. 在 `IP Address` 字段中输入 `192.168.1.100`。\n   b. 在 `Blacklist Type` 字段中选择 `Deny`。\n\n6. 点击 `Save` 保存黑名单规则。\n\n7. 点击 `Apply Changes` 应用更改。\n\n8. 验证黑名单配置:\n   ```
   Security > Application Security > IP Intelligence > Blacklist
   ```""
}
",,,
,F5 Networks BIG-IP ASM (Application Security Manager),"{
  ""instruction"": ""配置 SSL/TLS 加密以确保数据传输的安全性。"",
  ""input"": ""SSL 证书: 'example_cert.pem'，私钥: 'example_key.pem'。"",
  ""output"": ""1. 登录到 F5 BIG-IP ASM 的 Web 界面。\n\n2. 导航到 `Local Traffic` > `SSL Certificates`。\n\n3. 点击 `Import` 按钮以导入 SSL 证书和私钥。\n\n4. 配置证书导入参数:\n   a. 在 `Certificate` 字段中选择 `example_cert.pem`。\n   b. 在 `Private Key` 字段中选择 `example_key.pem`。\n\n5. 点击 `Import` 导入证书和私钥。\n\n6. 导航到 `Local Traffic` > `Profiles` > `SSL`。\n\n7. 点击 `Create` 按钮以创建新的 SSL 配置文件。\n\n8. 配置 SSL 配置文件参数:\n   a. 在 `Profile Name` 字段中输入 `SSLProfile`。\n   b. 在 `Certificate` 字段中选择导入的证书。\n   c. 在 `Key` 字段中选择导入的私钥。\n\n9. 点击 `Finished` 保存 SSL 配置文件。\n\n10. 应用 SSL 配置文件:\n   ```
   Local Traffic > Profiles > SSL
   ```""
}
",,,
,F5 Networks BIG-IP ASM (Application Security Manager),"{
  ""instruction"": ""配置 Web 应用防火墙规则以防止 SQL 注入攻击。"",
  ""input"": ""规则类型: 'SQL Injection'，策略: 'DefaultPolicy'。"",
  ""output"": ""1. 登录到 F5 BIG-IP ASM 的 Web 界面。\n\n2. 导航到 `Security` > `Application Security` > `WAF Policies`。\n\n3. 选择 `DefaultPolicy` 并点击 `Edit`。\n\n4. 导航到 `Attack Signatures` 选项卡。\n\n5. 在 `Signature Type` 下拉列表中选择 `SQL Injection`。\n\n6. 配置规则参数，如启用或禁用特定的 SQL 注入签名。\n\n7. 点击 `Save` 保存 WAF 规则。\n\n8. 点击 `Apply Policy` 应用 WAF 规则。\n\n9. 验证 WAF 规则配置:\n   ```
   Security > Application Security > WAF Policies > Attack Signatures
   ```""
}
",,,
,F5 Networks BIG-IP ASM (Application Security Manager),"{
  ""instruction"": ""配置应用程序保护以防止 DDoS 攻击。"",
  ""input"": ""保护级别: 'High'，保护策略: 'DDoSPolicy'。"",
  ""output"": ""1. 登录到 F5 BIG-IP ASM 的 Web 界面。\n\n2. 导航到 `Security` > `Application Security` > `DoS Protection`。\n\n3. 点击 `Create` 按钮以创建新的保护策略。\n\n4. 配置保护策略参数:\n   a. 在 `Policy Name` 字段中输入 `DDoSPolicy`。\n   b. 在 `Protection Level` 字段中选择 `High`。\n\n5. 点击 `Save` 保存保护策略。\n\n6. 导航到 `Security` > `Application Security` > `Application List`。\n\n7. 选择要应用保护策略的应用，并点击 `Manage Policy`。\n\n8. 选择 `DDoSPolicy` 并点击 `Apply`。\n\n9. 点击 `Apply Policy` 应用保护策略。\n\n10. 验证保护策略应用:\n   ```
   Security > Application Security > DoS Protection
   ```""
}
",,,
,FireEye Network Security and Forensics,"{
  ""instruction"": ""配置基本的网络监控设置以开始流量分析。"",
  ""input"": ""监控接口: 'eth0'，监控级别: 'High'。"",
  ""output"": ""1. 登录到 FireEye 的 Web 界面。\n\n2. 导航到 `Network` > `Interfaces`。\n\n3. 选择 `eth0` 接口并点击 `Edit`。\n\n4. 在 `Monitoring Level` 字段中选择 `High`。\n\n5. 点击 `Save` 保存配置。\n\n6. 导航到 `Network` > `Traffic`。\n\n7. 确保流量监控已启动，并验证 `eth0` 接口的流量数据。\n\n8. 验证监控配置:\n   ```
   Network > Interfaces > Traffic
   ```""
}
",,,
,FireEye Network Security and Forensics,"{
  ""instruction"": ""配置恶意流量检测规则以检测异常活动。"",
  ""input"": ""规则名称: 'MaliciousTrafficRule'，规则类型: 'Anomaly Detection'。"",
  ""output"": ""1. 登录到 FireEye 的 Web 界面。\n\n2. 导航到 `Security` > `Rules` > `Anomaly Detection`。\n\n3. 点击 `Create` 按钮以创建新的检测规则。\n\n4. 配置规则参数:\n   a. 在 `Rule Name` 字段中输入 `MaliciousTrafficRule`。\n   b. 在 `Rule Type` 字段中选择 `Anomaly Detection`。\n\n5. 点击 `Save` 保存检测规则。\n\n6. 导航到 `Security` > `Alerts`。\n\n7. 确保检测规则已经生效并检查是否有触发的警报。\n\n8. 验证检测规则配置:\n   ```
   Security > Rules > Anomaly Detection > Alerts
   ```""
}
",,,
,FireEye Network Security and Forensics,"{
  ""instruction"": ""配置自定义通知以便在检测到特定事件时发送警报。"",
  ""input"": ""通知名称: 'CriticalAlerts'，通知类型: 'Email'，收件人: 'admin@example.com'。"",
  ""output"": ""1. 登录到 FireEye 的 Web 界面。\n\n2. 导航到 `Settings` > `Notifications`。\n\n3. 点击 `Create` 按钮以创建新的通知配置。\n\n4. 配置通知参数:\n   a. 在 `Notification Name` 字段中输入 `CriticalAlerts`。\n   b. 在 `Notification Type` 字段中选择 `Email`。\n   c. 在 `Recipients` 字段中输入 `admin@example.com`。\n\n5. 点击 `Save` 保存通知配置。\n\n6. 导航到 `Settings` > `Alerts`。\n\n7. 确保 `CriticalAlerts` 通知已启用并验证发送情况。\n\n8. 验证通知配置:\n   ```
   Settings > Notifications > Alerts
   ```""
}
",,,
,FireEye Network Security and Forensics,"{
  ""instruction"": ""配置流量捕获以记录和分析网络流量。"",
  ""input"": ""捕获接口: 'eth1'，捕获模式: 'Full Packet Capture'。"",
  ""output"": ""1. 登录到 FireEye 的 Web 界面。\n\n2. 导航到 `Network` > `Capture`。\n\n3. 选择 `eth1` 接口并点击 `Configure`。\n\n4. 在 `Capture Mode` 字段中选择 `Full Packet Capture`。\n\n5. 配置捕获设置，如捕获大小和时间限制。\n\n6. 点击 `Save` 保存捕获配置。\n\n7. 导航到 `Network` > `Captured Data`。\n\n8. 确保流量捕获已经启动，并验证捕获的数据。\n\n9. 验证流量捕获配置:\n   ```
   Network > Capture > Captured Data
   ```""
}
",,,
,FireEye Network Security and Forensics,"{
  ""instruction"": ""配置事件响应规则以自动响应特定的安全事件。"",
  ""input"": ""规则名称: 'AutoBlockRule'，触发条件: 'MaliciousActivity'，响应动作: 'Block IP'。"",
  ""output"": ""1. 登录到 FireEye 的 Web 界面。\n\n2. 导航到 `Security` > `Event Response` > `Rules`。\n\n3. 点击 `Create` 按钮以创建新的事件响应规则。\n\n4. 配置规则参数:\n   a. 在 `Rule Name` 字段中输入 `AutoBlockRule`。\n   b. 在 `Trigger Condition` 字段中选择 `MaliciousActivity`。\n   c. 在 `Response Action` 字段中选择 `Block IP`。\n\n5. 点击 `Save` 保存事件响应规则。\n\n6. 导航到 `Security` > `Event Logs`。\n\n7. 确保 `AutoBlockRule` 已生效并检查响应动作。\n\n8. 验证事件响应规则配置:\n   ```
   Security > Event Response > Rules > Event Logs
   ```""
}
",,,
,Radware DefensePro,"{
  ""instruction"": ""配置基本的流量监控以开始监测网络流量。"",
  ""input"": ""监控接口: 'eth0'，监控级别: 'High'。"",
  ""output"": ""1. 登录到 Radware DefensePro 的 Web 界面。\n\n2. 导航到 `Network` > `Interfaces`。\n\n3. 选择 `eth0` 接口并点击 `Edit`。\n\n4. 在 `Monitoring Level` 字段中选择 `High`。\n\n5. 点击 `Save` 保存配置。\n\n6. 导航到 `Monitor` > `Traffic`。\n\n7. 确保流量监控已启动并验证 `eth0` 接口的流量数据。\n\n8. 验证流量监控配置:\n   ```
   Monitor > Traffic
   ```""
}
",,,
,Radware DefensePro,"{
  ""instruction"": ""配置流量过滤规则以阻止特定类型的流量。"",
  ""input"": ""规则名称: 'BlockMaliciousTraffic'，流量类型: 'Malicious'。"",
  ""output"": ""1. 登录到 Radware DefensePro 的 Web 界面。\n\n2. 导航到 `Security` > `Traffic Filtering` > `Rules`。\n\n3. 点击 `Create` 按钮以创建新的过滤规则。\n\n4. 配置规则参数:\n   a. 在 `Rule Name` 字段中输入 `BlockMaliciousTraffic`。\n   b. 在 `Traffic Type` 字段中选择 `Malicious`。\n\n5. 点击 `Save` 保存过滤规则。\n\n6. 导航到 `Security` > `Traffic Filtering` > `Rules`。\n\n7. 确保 `BlockMaliciousTraffic` 规则已启用并检查是否生效。\n\n8. 验证过滤规则配置:\n   ```
   Security > Traffic Filtering > Rules
   ```""
}
",,,
