type,device,instruction,input,output
入侵检测场景,FireEye Network Security and Forensics,如何在 FireEye Network Security and Forensics 中配置软件更新？,,1. 登录到 FireEye 管理界面：\n打开浏览器并访问 https://<fireeye-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Settings` > `Firmware Update`。\n3. 检查软件更新：\n点击 `Check for Updates` 按钮检查最新的软件版本。\n4. 下载最新软件包：\n在 `Available Updates` 列表中选择最新的软件版本，点击 `Download` 按钮。\n5. 安装软件更新：\n下载完成后，选择已下载的软件包，点击 `Upload` 按钮。\n6. 确认安装：\n在弹出的确认窗口中点击 `Yes` 确认安装。\n7. 安装完成后重启设备：\n点击 `Restart` 按钮重启设备以应用更新。\n8. 验证更新：\n登录管理界面，导航到 `System`，在 `Firmware Version` 部分检查软件版本号是否更新。
入侵检测场景,FireEye Network Security and Forensics,如何在 FireEye Network Security and Forensics 中配置威胁检测策略？,,"1. 登录到 FireEye 管理界面：\n打开浏览器并访问 https://<fireeye-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Settings` > `Threat Detection`。\n3. 创建新的检测策略：\n点击 `Add Policy` 按钮。\n4. 输入策略名称和描述：\n在 `Policy Name` 和 `Policy Description` 字段中输入策略名称和描述（例如，Default_Threat_Policy 和 用于检测和阻止威胁）。\n5. 配置检测规则：\n在 `Detection Rules` 部分，选择需要启用的检测规则（例如，Malware, Exploit, C2）。\n6. 配置防御动作：\n在 `Mitigation Actions` 部分，选择 `Block`, `Alert` 或 `Quarantine`，根据需要配置阻止或隔离动作。\n7. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n8. 将威胁检测策略应用到网络接口：\n导航到 `Settings` > `Network Interfaces`。\n9. 编辑网络接口：\n选择需要应用威胁检测策略的接口，点击 `Edit` 按钮。\n10. 在 `Threat Detection` 部分，选择刚刚创建的威胁检测策略（例如，Default_Threat_Policy）。\n11. 保存并应用策略：\n点击 `Save` 按钮保存更改。"
入侵检测场景,F5 Networks BIG-IP ASM (Application Security Manager),如何配置 F5 Networks BIG-IP ASM 的基本网络设置？,,1. 登录到 F5 BIG-IP ASM 管理界面：\n打开浏览器并访问 https://<bigip-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Network` > `Interfaces`。\n3. 配置管理接口：\n点击 `Self IPs`，选择要配置的 Self IP，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Netmask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n导航到 `System` > `Network` > `Routes`，点击 `Create` 按钮，输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Update` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。
入侵检测场景,F5 Networks BIG-IP ASM (Application Security Manager),如何在 F5 Networks BIG-IP ASM 中配置安全策略？,,"1. 登录到 F5 BIG-IP ASM 管理界面：\n打开浏览器并访问 https://<bigip-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Security` > `Application Security` > `Security Policies`。\n3. 创建新的安全策略：\n点击 `Create` 按钮，输入策略名称和描述（例如，Default_Security_Policy 和 默认安全策略）。\n4. 配置策略设置：\n在 `Settings` 部分，选择 `Learn` 或 `Blocking` 模式，配置策略的其他设置（例如，`Learning` 模式用于流量学习，`Blocking` 模式用于阻止攻击）。\n5. 配置策略规则：\n在 `Policy Rules` 部分，添加需要的安全规则（例如，SQL Injection, XSS）。\n6. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n7. 将安全策略应用到虚拟服务器：\n导航到 `Local Traffic` > `Virtual Servers`，选择要应用策略的虚拟服务器，点击 `Resources` > `Security Policies`，选择刚刚创建的安全策略。\n8. 保存并应用设置：\n点击 `Update` 按钮保存更改。"
入侵检测场景,F5 Networks BIG-IP ASM (Application Security Manager),如何在 F5 Networks BIG-IP ASM 中配置日志设置？,,"1. 登录到 F5 BIG-IP ASM 管理界面：\n打开浏览器并访问 https://<bigip-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Logs` > `Configuration`。\n3. 配置日志目的地：\n在 `Log Destination` 部分，选择 `Syslog`，输入 Syslog 服务器的地址（例如，192.168.1.100）。\n4. 配置日志级别：\n在 `Log Level` 部分，选择需要的日志级别（例如，`Informational`, `Warning`, `Error`）。\n5. 配置日志类型：\n在 `Log Categories` 部分，选择需要记录的日志类型（例如，`Event`, `Traffic`, `Security`）。\n6. 保存并应用设置：\n点击 `Update` 按钮保存配置。\n7. 验证日志记录：\n导航到 `System` > `Logs` > `Log View`，检查日志是否正常记录。"
入侵检测场景,F5 Networks BIG-IP ASM (Application Security Manager),如何在 F5 Networks BIG-IP ASM 中配置用户认证？,,"""1. 登录到 F5 BIG-IP ASM 管理界面：\n打开浏览器并访问 https://<bigip-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Users` > `User Accounts`。\n3. 添加新的用户：\n点击 `Create` 按钮。\n4. 输入用户信息：\n在 `User Name` 字段中输入用户名，在 `Password` 和 `Confirm Password` 字段中输入密码。\n5. 配置用户角色：\n在 `Roles` 部分，选择用户角色（例如，`Administrator`, `Editor`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存用户配置。\n7. 验证用户认证：\n注销并使用新用户凭据重新登录管理界面，确认用户认证配置正常。"""
入侵检测场景,F5 Networks BIG-IP ASM (Application Security Manager),如何在 F5 Networks BIG-IP ASM 中配置应用服务？,,"""1. 登录到 F5 BIG-IP ASM 管理界面：\n打开浏览器并访问 https://<bigip-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Local Traffic` > `iRules`。\n3. 创建新的 iRule：\n点击 `Create` 按钮，输入 iRule 名称和描述（例如，`App_Service_iRule` 和 用于应用服务的 iRule）。\n4. 编写 iRule 脚本：\n在 `Definition` 字段中输入 iRule 脚本（例如，`when HTTP_REQUEST { log local0. ""Request from [IP::client_addr]"" }`）。\n5. 保存并应用 iRule：\n点击 `Finished` 按钮保存 iRule 配置。\n6. 将 iRule 应用到虚拟服务器：\n导航到 `Local Traffic` > `Virtual Servers`，选择要应用 iRule 的虚拟服务器，点击 `Resources` > `iRules`，选择刚刚创建的 iRule。\n7. 保存并应用设置：\n点击 `Update` 按钮保存更改。"""
入侵检测场景,Radware DefensePro,如何配置 Radware DefensePro 的基本网络设置？,,1. 登录到 Radware DefensePro 管理界面：\n打开浏览器并访问 https://<defensepro-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Network`。\n3. 配置接口 IP 地址：\n在 `Interfaces` 部分，选择要配置的接口，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `IP Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Subnet Mask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n在 `Routing` 部分，点击 `Edit` 按钮，输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Apply` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。" }
入侵检测场景,Radware DefensePro,如何在 Radware DefensePro 中配置安全策略？,,"1. 登录到 Radware DefensePro 管理界面：\n打开浏览器并访问 https://<defensepro-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Protection` > `Policies`。\n3. 创建新的安全策略：\n点击 `Create Policy` 按钮，输入策略名称和描述（例如，`Default_Security_Policy` 和 `默认安全策略`）。\n4. 配置策略设置：\n在 `Policy Settings` 部分，选择需要的防护模式（例如，`Protect` 或 `Monitor`）。\n5. 配置策略规则：\n在 `Rules` 部分，添加需要的安全规则（例如，`DDoS Protection`, `Bot Protection`）。\n6. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n7. 将安全策略应用到保护的流量：\n导航到 `Traffic` > `Services`，选择需要应用策略的服务，点击 `Edit` 按钮，选择刚刚创建的安全策略。\n8. 保存并应用设置：\n点击 `Apply` 按钮保存更改。"" }"
入侵检测场景,Radware DefensePro,如何在 Radware DefensePro 中配置日志设置？,,"1. 登录到 Radware DefensePro 管理界面：\n打开浏览器并访问 https://<defensepro-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Logging`。\n3. 配置日志目的地：\n在 `Log Destination` 部分，选择 `Syslog`，输入 Syslog 服务器的地址（例如，192.168.1.100）。\n4. 配置日志级别：\n在 `Log Level` 部分，选择需要的日志级别（例如，`Information`, `Warning`, `Error`）。\n5. 配置日志类型：\n在 `Log Categories` 部分，选择需要记录的日志类型（例如，`Event`, `Attack`, `Traffic`）。\n6. 保存并应用设置：\n点击 `Apply` 按钮保存配置。\n7. 验证日志记录：\n导航到 `Logs`，检查是否正常记录日志。"
入侵检测场景,Radware DefensePro,如何在 Radware DefensePro 中配置用户认证？,,"1. 登录到 Radware DefensePro 管理界面：\n打开浏览器并访问 https://<defensepro-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Users`。\n3. 添加新的用户：\n点击 `Add User` 按钮。\n4. 输入用户信息：\n在 `Username` 字段中输入用户名，在 `Password` 和 `Confirm Password` 字段中输入密码。\n5. 配置用户角色：\n在 `Role` 部分，选择用户角色（例如，`Administrator`, `Operator`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存用户配置。\n7. 验证用户认证：\n注销并使用新用户凭据重新登录管理界面，确认用户认证配置正常。"
入侵检测场景,Radware DefensePro,如何在 Radware DefensePro 中配置应用服务？,,"1. 登录到 Radware DefensePro 管理界面：\n打开浏览器并访问 https://<defensepro-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Services` > `Application Services`。\n3. 创建新的应用服务：\n点击 `Add Service` 按钮，输入服务名称和描述（例如，`App_Service_1` 和 `应用服务 1`）。\n4. 配置应用服务设置：\n在 `Settings` 部分，配置服务的 IP 地址和端口（例如，`192.168.1.10:80`）。\n5. 配置流量监控：\n在 `Traffic Monitoring` 部分，选择需要监控的流量类型（例如，`HTTP`, `HTTPS`）。\n6. 配置防护策略：\n在 `Protection` 部分，选择已创建的安全策略（例如，`Default_Security_Policy`）。\n7. 保存并应用服务配置：\n点击 `Save` 按钮保存配置。\n8. 验证服务运行：\n导航到 `Dashboard`，查看应用服务的运行状态，确认配置正确。"
入侵检测场景,WatchGuard Intrusion Prevention Service,如何配置 WatchGuard Intrusion Prevention Service 的基本网络设置？,,1. 登录到 WatchGuard 管理界面：\n打开浏览器并访问 https://<watchguard-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Network` > `Interfaces`。\n3. 配置接口 IP 地址：\n选择要配置的接口，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `IP Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Subnet Mask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n导航到 `Network` > `Routing`，点击 `Add` 按钮，输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。
入侵检测场景,WatchGuard Intrusion Prevention Service,如何在 WatchGuard Intrusion Prevention Service 中配置安全策略？,,"1. 登录到 WatchGuard 管理界面：\n打开浏览器并访问 https://<watchguard-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Firewall` > `Policy Manager`。\n3. 创建新的安全策略：\n点击 `Add Policy` 按钮，输入策略名称和描述（例如，`Default_Security_Policy` 和 `默认安全策略`）。\n4. 配置策略设置：\n在 `Policy` 部分，选择 `IPS` 作为策略类型。\n5. 配置策略规则：\n在 `Rules` 部分，添加需要的安全规则（例如，`SQL Injection Protection`, `DDoS Protection`）。\n6. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n7. 将安全策略应用到网络流量：\n导航到 `Firewall` > `Policies`，选择需要应用策略的流量，点击 `Edit` 按钮，选择刚刚创建的安全策略。\n8. 保存并应用设置：\n点击 `Save` 按钮保存更改。"
入侵检测场景,WatchGuard Intrusion Prevention Service,如何在 WatchGuard Intrusion Prevention Service 中配置日志设置？,,"1. 登录到 WatchGuard 管理界面：\n打开浏览器并访问 https://<watchguard-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Log Settings`。\n3. 配置日志目的地：\n在 `Log Destinations` 部分，选择 `Syslog`，输入 Syslog 服务器的地址（例如，192.168.1.100）。\n4. 配置日志级别：\n在 `Log Level` 部分，选择需要的日志级别（例如，`Information`, `Warning`, `Error`）。\n5. 配置日志类型：\n在 `Log Categories` 部分，选择需要记录的日志类型（例如，`Event`, `Traffic`, `Security`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存配置。\n7. 验证日志记录：\n导航到 `System` > `Logs`，检查是否正常记录日志。"
入侵检测场景,WatchGuard Intrusion Prevention Service,如何在 WatchGuard Intrusion Prevention Service 中配置用户认证？,,"1. 登录到 WatchGuard 管理界面：\n打开浏览器并访问 https://<watchguard-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Users`。\n3. 添加新的用户：\n点击 `Add User` 按钮。\n4. 输入用户信息：\n在 `Username` 字段中输入用户名，在 `Password` 和 `Confirm Password` 字段中输入密码。\n5. 配置用户角色：\n在 `Roles` 部分，选择用户角色（例如，`Administrator`, `Operator`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存用户配置。\n7. 验证用户认证：\n注销并使用新用户凭据重新登录管理界面，确认用户认证配置正常。"
入侵检测场景,WatchGuard Intrusion Prevention Service,如何在 WatchGuard Intrusion Prevention Service 中配置应用服务？,,"1. 登录到 WatchGuard 管理界面：\n打开浏览器并访问 https://<watchguard-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Firewall` > `Application Control`。\n3. 创建新的应用服务：\n点击 `Add Application` 按钮，输入服务名称和描述（例如，`App_Service_1` 和 `应用服务 1`）。\n4. 配置应用服务设置：\n在 `Settings` 部分，配置服务的 IP 地址和端口（例如，`192.168.1.10:80`）。\n5. 配置应用服务规则：\n在 `Rules` 部分，添加需要的应用规则（例如，`Allow HTTP`, `Deny FTP`）。\n6. 保存并应用服务配置：\n点击 `Save` 按钮保存配置。\n7. 验证服务运行：\n导航到 `Dashboard`，查看应用服务的运行状态，确认配置正确。"""
入侵检测场景,Forcepoint Next Generation Firewall IPS,如何配置 Forcepoint Next Generation Firewall 的基本网络设置？,,"""1. 登录到 Forcepoint NGFW 管理界面：\n打开浏览器并访问 https://<forcepoint-ngfw-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Network` > `Interfaces`。\n3. 配置接口 IP 地址：\n选择要配置的接口，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `IP Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Subnet Mask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n导航到 `Network` > `Routing`，点击 `Add` 按钮，输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。"" }"
入侵检测场景,Forcepoint Next Generation Firewall IPS,如何在 Forcepoint Next Generation Firewall 中配置 IPS 安全策略？",,"1. 登录到 Forcepoint NGFW 管理界面：\n打开浏览器并访问 https://<forcepoint-ngfw-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Security` > `Intrusion Prevention`。\n3. 创建新的 IPS 策略：\n点击 `Add Policy` 按钮，输入策略名称和描述（例如，`Default_IPS_Policy` 和 `默认 IPS 策略`）。\n4. 配置策略设置：\n在 `Policy Settings` 部分，选择 `IPS` 作为策略类型。\n5. 配置策略规则：\n在 `Rules` 部分，添加需要的安全规则（例如，`SQL Injection Protection`, `Cross-Site Scripting`）。\n6. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n7. 将 IPS 策略应用到流量：\n导航到 `Policy` > `Traffic`，选择需要应用策略的流量，点击 `Edit` 按钮，选择刚刚创建的 IPS 策略。\n8. 保存并应用设置：\n点击 `Save` 按钮保存更改。"""
入侵检测场景,Forcepoint Next Generation Firewall IPS,如何在 Forcepoint Next Generation Firewall 中配置日志设置？,,"1. 登录到 Forcepoint NGFW 管理界面：\n打开浏览器并访问 https://<forcepoint-ngfw-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Log Settings`。\n3. 配置日志目的地：\n在 `Log Destinations` 部分，选择 `Syslog`，输入 Syslog 服务器的地址（例如，192.168.1.100）。\n4. 配置日志级别：\n在 `Log Level` 部分，选择需要的日志级别（例如，`Information`, `Warning`, `Critical`）。\n5. 配置日志类型：\n在 `Log Categories` 部分，选择需要记录的日志类型（例如，`Event`, `Traffic`, `Threat`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存配置。\n7. 验证日志记录：\n导航到 `Logs`，检查是否正常记录日志。"
入侵检测场景,Forcepoint Next Generation Firewall IPS,如何在 Forcepoint Next Generation Firewall 中配置用户认证？,,"1. 登录到 Forcepoint NGFW 管理界面：\n打开浏览器并访问 https://<forcepoint-ngfw-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `System` > `Users`。\n3. 添加新的用户：\n点击 `Add User` 按钮。\n4. 输入用户信息：\n在 `Username` 字段中输入用户名，在 `Password` 和 `Confirm Password` 字段中输入密码。\n5. 配置用户角色：\n在 `Roles` 部分，选择用户角色（例如，`Administrator`, `Operator`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存用户配置。\n7. 验证用户认证：\n注销并使用新用户凭据重新登录管理界面，确认用户认证配置正常。"
入侵检测场景,Forcepoint Next Generation Firewall IPS,如何在 Forcepoint Next Generation Firewall 中配置应用服务？,,"1. 登录到 Forcepoint NGFW 管理界面：\n打开浏览器并访问 https://<forcepoint-ngfw-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Applications` > `Application Control`。\n3. 创建新的应用服务：\n点击 `Add Application` 按钮，输入服务名称和描述（例如，`App_Service_1` 和 `应用服务 1`）。\n4. 配置应用服务设置：\n在 `Settings` 部分，配置服务的 IP 地址和端口（例如，`192.168.1.10:80`）。\n5. 配置应用服务规则：\n在 `Rules` 部分，添加需要的应用规则（例如，`Allow HTTP`, `Deny FTP`）。\n6. 保存并应用服务配置：\n点击 `Save` 按钮保存配置。\n7. 验证服务运行：\n导航到 `Dashboard`，查看应用服务的运行状态，确认配置正确。"""
入侵检测场景,Bitdefender GravityZone Security for Network,如何配置 Bitdefender GravityZone Security for Network 的基本网络设置？,,1. 登录到 Bitdefender GravityZone 管理界面：\n打开浏览器并访问 https://<bitdefender-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Network` > `Network Configuration`。\n3. 配置网络接口：\n选择要配置的网络接口，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `IP Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Subnet Mask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n在 `Default Gateway` 字段中输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。"
入侵检测场景,Bitdefender GravityZone Security for Network,如何在 Bitdefender GravityZone Security for Network 中配置安全策略？,,"1. 登录到 Bitdefender GravityZone 管理界面：\n打开浏览器并访问 https://<bitdefender-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Policies` > `Security Policies`。\n3. 创建新的安全策略：\n点击 `Add Policy` 按钮，输入策略名称和描述（例如，`Default_Security_Policy` 和 `默认安全策略`）。\n4. 配置策略设置：\n在 `Policy Settings` 部分，选择 `Network Security` 作为策略类型。\n5. 配置策略规则：\n在 `Rules` 部分，添加需要的安全规则（例如，`Intrusion Prevention`, `Firewall Rules`）。\n6. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n7. 将安全策略应用到网络流量：\n导航到 `Traffic` > `Apply Policy`，选择需要应用策略的流量，点击 `Apply` 按钮。\n8. 保存并应用设置：\n点击 `Save` 按钮保存更改。"""
入侵检测场景,Bitdefender GravityZone Security for Network,如何在 Bitdefender GravityZone Security for Network 中配置日志设置？,,"1. 登录到 Bitdefender GravityZone 管理界面：\n打开浏览器并访问 https://<bitdefender-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Logs` > `Log Settings`。\n3. 配置日志目的地：\n在 `Log Destinations` 部分，选择 `Syslog`，输入 Syslog 服务器的地址（例如，192.168.1.100）。\n4. 配置日志级别：\n在 `Log Level` 部分，选择需要的日志级别（例如，`Information`, `Warning`, `Critical`）。\n5. 配置日志类型：\n在 `Log Categories` 部分，选择需要记录的日志类型（例如，`Event`, `Traffic`, `Threat`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存配置。\n7. 验证日志记录：\n导航到 `Logs`，检查是否正常记录日志。"""
入侵检测场景,Bitdefender GravityZone Security for Network,如何在 Bitdefender GravityZone Security for Network 中配置用户认证？,,"1. 登录到 Bitdefender GravityZone 管理界面：\n打开浏览器并访问 https://<bitdefender-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Users` > `User Management`。\n3. 添加新的用户：\n点击 `Add User` 按钮。\n4. 输入用户信息：\n在 `Username` 字段中输入用户名，在 `Password` 和 `Confirm Password` 字段中输入密码。\n5. 配置用户角色：\n在 `Roles` 部分，选择用户角色（例如，`Administrator`, `Operator`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存用户配置。\n7. 验证用户认证：\n注销并使用新用户凭据重新登录管理界面，确认用户认证配置正常。"
入侵检测场景,Bitdefender GravityZone Security for Network,如何在 Bitdefender GravityZone Security for Network 中配置应用服务？,,"1. 登录到 Bitdefender GravityZone 管理界面：\n打开浏览器并访问 https://<bitdefender-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Applications` > `Application Control`。\n3. 创建新的应用服务：\n点击 `Add Application` 按钮，输入服务名称和描述（例如，`App_Service_1` 和 `应用服务 1`）。\n4. 配置应用服务设置：\n在 `Settings` 部分，配置服务的 IP 地址和端口（例如，`192.168.1.10:80`）。\n5. 配置应用服务规则：\n在 `Rules` 部分，添加需要的应用规则（例如，`Allow HTTP`, `Deny FTP`）。\n6. 保存并应用服务配置：\n点击 `Save` 按钮保存配置。\n7. 验证服务运行：\n导航到 `Dashboard`，查看应用服务的运行状态，确认配置正确。"
入侵检测场景,Sophos XG Firewall IPS,如何配置 Sophos XG Firewall 的基本网络设置？,,1. 登录到 Sophos XG Firewall 管理界面：\n打开浏览器并访问 https://<sophos-xg-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Network` > `Interfaces`。\n3. 配置接口 IP 地址：\n选择要配置的接口，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `IP Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Subnet Mask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n导航到 `Network` > `Routing`，点击 `Add` 按钮，输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。
入侵检测场景,Sophos XG Firewall IPS,如何在 Sophos XG Firewall 中配置 IPS 策略？,,"1. 登录到 Sophos XG Firewall 管理界面：\n打开浏览器并访问 https://<sophos-xg-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Network Protection` > `Intrusion Prevention`。\n3. 创建新的 IPS 策略：\n点击 `Add Policy` 按钮，输入策略名称和描述（例如，`Default_IPS_Policy` 和 `默认 IPS 策略`）。\n4. 配置策略设置：\n在 `Policy Settings` 部分，选择 `IPS` 作为策略类型。\n5. 配置策略规则：\n在 `Rules` 部分，添加需要的安全规则（例如，`SQL Injection Protection`, `Cross-Site Scripting`）。\n6. 保存并应用策略：\n点击 `Save` 按钮保存策略配置。\n7. 将 IPS 策略应用到流量：\n导航到 `Rules and Policies` > `Firewall Rules`，选择需要应用策略的流量规则，点击 `Edit` 按钮，选择刚刚创建的 IPS 策略。\n8. 保存并应用设置：\n点击 `Save` 按钮保存更改。"
入侵检测场景,Sophos XG Firewall IPS,如何在 Sophos XG Firewall 中配置日志设置？,,"1. 登录到 Sophos XG Firewall 管理界面：\n打开浏览器并访问 https://<sophos-xg-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Log Viewer` > `Log Settings`。\n3. 配置日志目的地：\n在 `Log Destinations` 部分，选择 `Syslog`，输入 Syslog 服务器的地址（例如，192.168.1.100）。\n4. 配置日志级别：\n在 `Log Level` 部分，选择需要的日志级别（例如，`Information`, `Warning`, `Critical`）。\n5. 配置日志类型：\n在 `Log Categories` 部分，选择需要记录的日志类型（例如，`Event`, `Traffic`, `Threat`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存配置。\n7. 验证日志记录：\n导航到 `Log Viewer`，检查是否正常记录日志。"
入侵检测场景,Sophos XG Firewall IPS,如何在 Sophos XG Firewall 中配置用户认证？,,"1. 登录到 Sophos XG Firewall 管理界面：\n打开浏览器并访问 https://<sophos-xg-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Admin` > `Admin Settings`。\n3. 添加新的用户：\n点击 `Add User` 按钮。\n4. 输入用户信息：\n在 `Username` 字段中输入用户名，在 `Password` 和 `Confirm Password` 字段中输入密码。\n5. 配置用户角色：\n在 `Roles` 部分，选择用户角色（例如，`Administrator`, `Operator`）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存用户配置。\n7. 验证用户认证：\n注销并使用新用户凭据重新登录管理界面，确认用户认证配置正常。"
入侵检测场景,Sophos XG Firewall IPS,如何在 Sophos XG Firewall 中配置应用服务？,,"1. 登录到 Sophos XG Firewall 管理界面：\n打开浏览器并访问 https://<sophos-xg-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Application Control` > `Application Rules`。\n3. 创建新的应用服务：\n点击 `Add Application Rule` 按钮，输入规则名称和描述（例如，`App_Service_1` 和 `应用服务 1`）。\n4. 配置应用服务设置：\n在 `Settings` 部分，配置服务的 IP 地址和端口（例如，`192.168.1.10:80`）。\n5. 配置应用服务规则：\n在 `Rules` 部分，添加需要的应用规则（例如，`Allow HTTP`, `Deny FTP`）。\n6. 保存并应用服务配置：\n点击 `Save` 按钮保存配置。\n7. 验证服务运行：\n导航到 `Dashboard`，查看应用服务的运行状态，确认配置正确。"
入侵检测场景,Hillstone Networks Intrusion Prevention System,如何配置 Hillstone Networks IPS 的基本网络设置？,,1. 登录到 Hillstone Networks IPS 管理界面：\n打开浏览器并访问 https://<hillstone-ip>\n输入管理员用户名和密码进行登录。\n2. 导航到 `Network` > `Interface`。\n3. 配置网络接口 IP 地址：\n选择要配置的接口，点击 `Edit` 按钮。\n4. 输入 IP 地址和子网掩码：\n在 `IP Address` 字段中输入 IP 地址（例如，192.168.1.10），在 `Subnet Mask` 字段中输入子网掩码（例如，255.255.255.0）。\n5. 配置默认网关：\n导航到 `Network` > `Routing`，点击 `Add` 按钮，输入网关地址（例如，192.168.1.1）。\n6. 保存并应用设置：\n点击 `Save` 按钮保存更改。\n7. 验证网络连接：\n打开终端并执行 `ping 192.168.1.10`，确认网络连接正常。
